timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2019-04-11,0.0,1000000.0,0.0,1000000.0,0.0
2019-04-12,0.0,1000000.0,0.0,1036745.4483450922,-0.03674544834509219
2019-04-15,0.0,1000000.0,0.0,1241469.8459683256,-0.19746833511545692
2019-04-16,0.0,1000000.0,0.0,1343832.094841588,-0.08245246487917846
2019-04-18,0.0,1000000.0,0.0,1372703.4470246665,-0.02148434487753592
2019-04-22,0.0,1000000.0,0.0,1291338.654419052,0.05927339425130218
2019-04-23,0.0,1000000.0,0.0,1220472.4898239695,0.05487806343639867
2019-04-24,0.0,1000000.0,0.0,1244094.5780634277,-0.019354871524277506
2019-04-25,0.0,1000000.0,0.0,1233595.8499296035,0.00843885048527937
2019-04-26,0.0,1000000.0,0.0,1209973.7616901454,0.019148968635721464
2019-04-30,0.0,1000000.0,0.0,1157480.321267609,0.043383949375241926
2019-05-02,0.0,1000000.0,0.0,1254593.2060739596,-0.08390024696056853
2019-05-03,0.0,1000000.0,0.0,1215223.1257570575,0.03138075363894588
2019-05-06,0.0,1000000.0,0.0,1191601.1376408914,0.019438395810193465
2019-05-07,0.0,1000000.0,0.0,1196850.4015845116,-0.004405218976219372
2019-05-08,0.0,1000000.0,0.0,1186351.7735739795,0.008771879924703185
2019-05-09,0.0,1000000.0,0.0,1196850.4015845116,-0.008849506735177037
2019-05-10,0.0,1000000.0,0.0,1191601.1376408916,0.004385898134529276
2019-05-13,0.0,1000000.0,0.0,1154855.6892957992,0.03083703697853135
2019-05-14,0.0,1000000.0,0.0,1146981.6932570771,0.006818164478648803
2019-05-15,0.0,1000000.0,0.0,1146981.6932570771,0.0
2019-05-16,0.0,1000000.0,0.0,1141732.329190165,0.004576676417568093
2019-05-17,0.0,1000000.0,0.0,1160105.053362711,-0.0160919715618264
2019-05-20,0.0,1000000.0,0.0,1254593.2060739598,-0.08144792787287902
2019-05-21,0.0,1000000.0,0.0,1225721.8538908814,0.023012520746407028
2019-05-22,0.0,1000000.0,0.0,1254593.2060739596,-0.023554570795511376
2019-05-23,0.0,1000000.0,0.0,1246719.2100352373,0.006276134766712516
2019-05-24,0.0,1000000.0,0.0,1343832.0948415878,-0.0778947529039884
2019-05-27,0.0,1000000.0,0.0,1459317.6036971926,-0.08593745401594854
2019-05-28,0.0,1000000.0,0.0,1522309.772253553,-0.04316549625439259
2019-05-29,0.0,1000000.0,0.0,1509186.412147919,0.008620689655172376
2019-05-30,0.0,1000000.0,0.0,1485564.3239084608,0.015652200450067988
2019-05-31,0.0,1000000.0,0.0,1417322.8914084802,0.04593637003912421
2019-06-03,0.0,1000000.0,0.0,1377952.811091578,0.02777777777777779
2019-06-04,0.0,1000000.0,0.0,1451443.6076584707,-0.05333331880115333
2019-06-06,0.0,1000000.0,0.0,1461942.3357922945,-0.0072333007485980705
2019-06-07,0.0,1000000.0,0.0,1440944.9796479384,0.01436264319753533
2019-06-10,0.0,1000000.0,0.0,1404199.531302846,0.025500937831831716
2019-06-11,0.0,1000000.0,0.0,1372703.447024666,0.02242992080260664
2019-06-12,0.0,1000000.0,0.0,1359580.086919032,0.009560229584968938
2019-06-13,0.0,1000000.0,0.0,1359580.086919032,0.0
2019-06-14,0.0,1000000.0,0.0,1404199.531302846,-0.03281854803046369
2019-06-17,0.0,1000000.0,0.0,1412073.5273415684,-0.005607462374963568
2019-06-18,0.0,1000000.0,0.0,1404199.531302846,0.005576194076484131
2019-06-19,0.0,1000000.0,0.0,1367454.082957754,0.026168252820166438
2019-06-20,0.0,1000000.0,0.0,1377952.8110915779,-0.0076775726985403026
2019-06-21,0.0,1000000.0,0.0,1385826.8071303002,-0.005714271182105657
2019-06-24,0.0,1000000.0,0.0,1370078.815052856,0.011363607628614325
2019-06-25,0.0,1000000.0,0.0,1372703.4470246662,-0.0019156795528649795
2019-06-26,0.0,1000000.0,0.0,1393700.8031690223,-0.015296352748197739
2019-06-27,0.0,1000000.0,0.0,1451443.6076584707,-0.0414312773287866
2019-06-28,0.0,1000000.0,0.0,1459317.6036971929,-0.0054249410705145
2019-07-01,0.0,1000000.0,0.0,1459317.6036971929,0.0
2019-07-02,0.0,1000000.0,0.0,1456692.9717253826,0.0017985337565726844
2019-07-03,0.0,1000000.0,0.0,1498687.684014095,-0.02882880133551513
2019-07-04,0.0,1000000.0,0.0,1485564.323908461,0.008756567659570225
2019-07-05,0.0,1000000.0,0.0,1417322.8914084805,0.04593637003912421
2019-07-08,0.0,1000000.0,0.0,1377952.8110915783,0.02777777777777779
2019-07-09,0.0,1000000.0,0.0,1398950.1672359346,-0.015238080705915147
2019-07-10,0.0,1000000.0,0.0,1375328.1791197686,0.01688551077043643
2019-07-11,0.0,1000000.0,0.0,1383202.1751584904,-0.005725176113065222
2019-07-12,0.0,1000000.0,0.0,1367454.0829577544,0.011385242507250593
2019-07-15,0.0,1000000.0,0.0,1343832.094841588,0.01727442874357632
2019-07-16,0.0,1000000.0,0.0,1320210.0066021301,0.01757815454038747
2019-07-17,0.0,1000000.0,0.0,1325459.370669042,-0.003976158369245031
2019-07-18,0.0,1000000.0,0.0,1296588.018485964,0.02178214800239786
2019-07-19,0.0,1000000.0,0.0,1265091.9342077838,0.024291512669505022
2019-07-22,0.0,1000000.0,0.0,1267716.566179594,-0.0020746571066028174
2019-07-23,0.0,1000000.0,0.0,1246719.2100352377,0.016563131463710468
2019-07-24,0.0,1000000.0,0.0,1246719.2100352377,0.0
2019-07-25,0.0,1000000.0,0.0,1259842.570140872,-0.010526315789473717
2019-07-26,0.0,1000000.0,0.0,1257217.938169062,0.002083301544189453
2019-07-29,0.0,1000000.0,0.0,1244094.578063428,0.01043841302864812
2019-07-30,0.0,1000000.0,0.0,1181102.4095070674,0.05063294195399093
2019-07-31,0.0,1000000.0,0.0,1228346.485862692,-0.03999998304579
2019-08-01,0.0,1000000.0,0.0,1249343.8420070477,-0.01709400107056047
2019-08-02,0.0,1000000.0,0.0,1254593.2060739598,-0.004201696835099522
2019-08-05,0.0,1000000.0,0.0,1233595.8499296035,0.016736385979694512
2019-08-06,0.0,1000000.0,0.0,1251968.5741021496,-0.014893633254030814
2019-08-07,0.0,1000000.0,0.0,1244094.5780634275,0.0062892920809685116
2019-08-08,0.0,1000000.0,0.0,1278215.2943134177,-0.02742614335889404
2019-08-09,0.0,1000000.0,0.0,1364829.4509859441,-0.0677617902538481
2019-08-13,0.0,1000000.0,0.0,1296588.0184859638,0.0499999706561749
2019-08-14,0.0,1000000.0,0.0,1288713.9223239499,0.006072936082818781
2019-08-16,0.0,1000000.0,0.0,1291338.654419052,-0.002036706556540313
2019-08-19,0.0,1000000.0,0.0,1280839.926285228,0.008130112188539096
2019-08-20,0.0,1000000.0,0.0,1275590.562218316,0.004098376353816935
2019-08-21,0.0,1000000.0,0.0,1249343.8420070477,0.020576132333265162
2019-08-22,0.0,1000000.0,0.0,1207349.1297183353,0.033613414399392694
2019-08-23,0.0,1000000.0,0.0,1220472.4898239695,-0.010869565217391353
2019-08-26,0.0,1000000.0,0.0,1270341.2982746959,-0.04086024786836351
2019-08-27,0.0,1000000.0,0.0,1341207.3627464864,-0.05578505915539145
2019-08-28,0.0,1000000.0,0.0,1320210.0066021304,0.015655562836576098
2019-08-29,0.0,1000000.0,0.0,1275590.5622183161,0.033797232380212594
2019-08-30,0.0,1000000.0,0.0,1296588.0184859643,-0.01646096865998481
2019-09-03,0.0,1000000.0,0.0,1251968.57410215,0.034412969846749575
2019-09-04,0.0,1000000.0,0.0,1265091.9342077842,-0.010482180125843454
2019-09-05,0.0,1000000.0,0.0,1288713.9223239506,-0.018672151388712033
2019-09-06,0.0,1000000.0,0.0,1280839.9262852287,0.006109964284798597
2019-09-09,0.0,1000000.0,0.0,1312336.0105634087,-0.02459017995287449
2019-09-11,0.0,1000000.0,0.0,1304462.0145246868,0.005999984741210884
2019-09-12,0.0,1000000.0,0.0,1304462.0145246868,0.0
2019-09-13,0.0,1000000.0,0.0,1296588.0184859645,0.006036201860267432
2019-09-16,0.0,1000000.0,0.0,1259842.5701408724,0.028340110984520828
2019-09-17,0.0,1000000.0,0.0,1251968.5741021503,0.006249984105428097
2019-09-18,0.0,1000000.0,0.0,1257217.9381690621,-0.004192888044874943
2019-09-19,0.0,1000000.0,0.0,1233595.8499296042,0.018789175307075134
2019-09-20,0.0,1000000.0,0.0,1275590.5622183166,-0.034042520725980685
2019-09-23,0.0,1000000.0,0.0,1343832.0948415888,-0.053497991161518765
2019-09-24,0.0,1000000.0,0.0,1404199.531302847,-0.04492185942945093
2019-09-25,0.0,1000000.0,0.0,1338582.7307746764,0.04672897196261683
2019-09-26,0.0,1000000.0,0.0,1301837.2824295843,0.02745101031135111
2019-09-27,0.0,1000000.0,0.0,1325459.3706690422,-0.018145192612223138
2019-09-30,0.0,1000000.0,0.0,1265091.9342077838,0.045544539347733615
2019-10-01,0.0,1000000.0,0.0,1249343.8420070477,0.01244818006890358
2019-10-03,0.0,1000000.0,0.0,1228346.4858626917,0.016806707199696347
2019-10-04,0.0,1000000.0,0.0,1207349.1297183353,0.017094001070560583
