trade_date,open,high,low,close,volume
2019-04-11,19.0,19.799999237060547,18.649999618530273,19.049999237060547,89144982.0
2019-04-12,19.299999237060547,19.899999618530273,19.200000762939453,19.75,29799546.0
2019-04-15,20.0,23.700000762939453,19.899999618530273,23.649999618530273,80684771.0
2019-04-16,24.5,26.950000762939453,24.200000762939453,25.600000381469727,98193853.0
2019-04-18,26.350000381469727,26.850000381469727,25.149999618530273,26.149999618530273,49134384.0
2019-04-22,26.25,26.399999618530273,24.299999237060547,24.600000381469727,27638075.0
2019-04-23,24.5,24.649999618530273,23.0,23.25,23479783.0
2019-04-24,23.450000762939453,24.200000762939453,23.350000381469727,23.700000762939453,10435909.0
2019-04-25,23.950000762939453,24.149999618530273,23.200000762939453,23.5,9656994.0
2019-04-26,23.5,23.649999618530273,22.950000762939453,23.049999237060547,7087998.0
2019-04-30,23.049999237060547,23.049999237060547,21.200000762939453,22.049999237060547,12865523.0
2019-05-02,22.049999237060547,24.450000762939453,22.049999237060547,23.899999618530273,21855261.0
2019-05-03,24.200000762939453,24.350000381469727,23.100000381469727,23.149999618530273,7641982.0
2019-05-06,22.75,23.100000381469727,22.200000762939453,22.700000762939453,4701329.0
2019-05-07,23.200000762939453,23.549999237060547,22.700000762939453,22.799999237060547,4706773.0
2019-05-08,22.700000762939453,23.0,22.5,22.600000381469727,4409931.0
2019-05-09,22.5,23.200000762939453,22.5,22.799999237060547,5263687.0
2019-05-10,23.0,23.100000381469727,22.600000381469727,22.700000762939453,3917012.0
2019-05-13,22.799999237060547,22.899999618530273,21.850000381469727,22.0,6530467.0
2019-05-14,21.299999237060547,22.0,21.299999237060547,21.850000381469727,4430457.0
2019-05-15,21.899999618530273,22.399999618530273,21.75,21.850000381469727,2788664.0
2019-05-16,22.0,22.049999237060547,21.5,21.75,2618948.0
2019-05-17,21.700000762939453,22.399999618530273,21.450000762939453,22.100000381469727,4058030.0
2019-05-20,24.200000762939453,24.5,22.799999237060547,23.899999618530273,10019136.0
2019-05-21,24.0,24.100000381469727,23.100000381469727,23.350000381469727,3911699.0
2019-05-22,23.149999618530273,24.0,22.899999618530273,23.899999618530273,4219518.0
2019-05-23,24.5,25.200000762939453,23.5,23.75,13788157.0
2019-05-24,24.149999618530273,26.0,23.549999237060547,25.600000381469727,24360607.0
2019-05-27,26.0,28.049999237060547,25.75,27.799999237060547,35706613.0
2019-05-28,28.200000762939453,29.899999618530273,27.399999618530273,29.0,40083414.0
2019-05-29,29.200000762939453,29.75,27.549999237060547,28.75,25180226.0
2019-05-30,29.0,29.5,27.700000762939453,28.299999237060547,15230422.0
2019-05-31,28.149999618530273,28.200000762939453,26.549999237060547,27.0,16861938.0
2019-06-03,26.899999618530273,27.0,25.850000381469727,26.25,10780479.0
2019-06-04,26.200000762939453,28.350000381469727,25.700000762939453,27.649999618530273,29326652.0
2019-06-06,27.899999618530273,28.350000381469727,27.350000381469727,27.850000381469727,16563302.0
2019-06-07,28.149999618530273,28.299999237060547,27.149999618530273,27.450000762939453,8855839.0
2019-06-10,27.5,27.850000381469727,26.399999618530273,26.75,8182783.0
2019-06-11,26.75,26.850000381469727,26.0,26.149999618530273,7696976.0
2019-06-12,26.200000762939453,26.75,25.850000381469727,25.899999618530273,6350179.0
2019-06-13,25.950000762939453,26.299999237060547,25.75,25.899999618530273,4674283.0
2019-06-14,25.950000762939453,26.899999618530273,25.950000762939453,26.75,8008344.0
2019-06-17,26.950000762939453,27.399999618530273,26.5,26.899999618530273,6580348.0
2019-06-18,27.0,27.25,26.5,26.75,5220986.0
2019-06-19,26.850000381469727,27.100000381469727,25.799999237060547,26.049999237060547,6136025.0
2019-06-20,26.049999237060547,26.799999237060547,25.600000381469727,26.25,5343371.0
2019-06-21,26.450000762939453,26.75,26.200000762939453,26.399999618530273,4526851.0
2019-06-24,26.399999618530273,26.5,25.899999618530273,26.100000381469727,3136463.0
2019-06-25,26.049999237060547,26.25,25.899999618530273,26.149999618530273,2174486.0
